30154|MAT 271E|Physical (Face to face)|Mustafa Sait Yazgan|INB INB|Monday Tuesday|09:30/12:29 13:30/17:29|B101 B101|50|0|BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EHB_LS, EHB_MTM_LS, EHBE_LS, ELK_LS, ELK_MTM_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEM_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS
30155|MAT 271E|Physical (Face to face)|Mustafa Sait Yazgan|INB INB|Monday Wednesday|13:30/17:29 09:30/12:29|B101 B101|50|0|BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EHB_LS, EHB_MTM_LS, EHBE_LS, ELK_LS, ELK_MTM_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEM_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS
30156|MAT 271E|Physical (Face to face)|Mustafa Sait Yazgan|INB INB|Tuesday Wednesday|09:30/12:29 13:30/17:29|B101 B101|50|0|BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EHB_LS, EHB_MTM_LS, EHBE_LS, ELK_LS, ELK_MTM_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEM_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS
30157|CEV 442E|Physical (Face to face)|Derya Yüksel İmer|INB INB|Tuesday Wednesday|10:30/12:29 10:30/13:29|A101 A101|60|0|CEV_LS, CEVE_LS
30158|CEV 302E|Physical (Face to face)|Rüya Taşlı , Özlem Karahan Özgün|INB INB|Monday Wednesday|13:30/18:29 09:00/13:29|A203 A203|25|0|CEV_LS, CEVE_LS
30159|CEV 347E|Physical (Face to face)|Rüya Taşlı , Özlem Karahan Özgün|INB INB|Tuesday Thursday|09:30/13:29 09:30/12:29|A203 A203|25|0|CEV_LS, CEVE_LS
30160|ING 100|Physical (Face to face)|Esra Sancak|YDY YDY|Monday Wednesday|13:00/15:59 13:00/16:59|150 150|24|0|BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS
30161|ING 100|Physical (Face to face)|Esra Sancak|YDY YDY|Tuesday Thursday|13:00/15:59 13:00/16:59|150 150|24|0|BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS
30162|ING 112A|Virtual (Online)|Halime Ceren Göktaş|YDY YDY|Monday Wednesday|09:00/11:29 09:00/11:29|-- --|24|0|BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS
30163|ING 112A|Virtual (Online)|Halime Ceren Göktaş|YDY YDY|Monday Wednesday|11:30/13:59 11:30/13:59|-- --|24|0|BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, ECNE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUTE_LS, FIZ_LS, GEM_LS, GEO_LS, GEOE_LS, GID_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAT_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, TEKE_LS, UCK_LS, UZBE_LS, VBAE_LS, YZVE_LS
