AKM 204E|Fluid Mechanics|English|3|5|||
AKM 204E|Fluid Mechanics|English|3|5|||
AKM 204|Akışkanlar Mekaniği|Türkçe|3|5| ( MAT 102 MIN. DD veya MAT 102E MIN. DD ) veya ( MAT 104 MIN. DD veya MAT 104E MIN. DD ) |Yok| Dersin tanımı henüz Bölüm Başkanlığı tarafından girilmemiştir.
AKM 205E|Fluid Mechanics|English|4|5|||
AKM 205E|Fluid Mechanics|English|4|5|||
AKM 207E|Fluid Mechanics II|English|3|5|||
AKM 207E|Fluid Mechanics II|English|3|5|||
AKM 208E|Fluid Mechanics I|English|2,5|4,5|||
AKM 208E|Fluid Mechanics I|English|2,5|4,5|||
AKM 209E|Fluid Mechanics II|English|2,5|4,5|||
AKM 209E|Fluid Mechanics II|English|2,5|4,5|||
AKM 214E|Fluid Mechanics I|English|2,5|3,5|||
AKM 214E|Fluid Mechanics I|English|2,5|3,5|||
AKM 215E|Fluid Mechanics II|English|1,5|3|||
AKM 215E|Fluid Mechanics II|English|1,5|3|||
AKM 219E|Fluid Mechanics|English|3|5,5|AKM 219E|Fluid Mechanics|English|3|5,5| ( MAT 104 MIN. DD veya MAT 104E MIN. DD ) |Yok| Temel kavramlar ve tanımlar. Akışkan statiği. Manometreler ve basınç ölçümleri. Batmış cisimler üzerindeki hidrostatik kuvvetler. Katı cisimlerin öteleme ve dönme hareketi. Akışkan kinematiği. Bernoulli denklemi ve uygulamaları. Kütle, momentum ve enerji korunumu denklemleri (sistemler ve kontrol hacimleri için). Navier-Stokes denklemleri ve uygulamaları. Akım fonksiyonu ve potansiyel akım. Boyutsal analiz ve benzerlik. Boru ve kanallarda viskoz akış. Laminer ve türbülanslı sınır tabakalar. Borulardaki büyük ve küçük kayıplar. Batmış cisimler üzerindeki akış. Sınır tabaka denklemleri.
AKM 219E|Fluid Mechanics|English|3|5,5|||
ALM 101|German I|Almanca|3|4|||
ALM 102|German II|Almanca|3|4|||
ALM 201|German III|Almanca|3|4|||
ALM 202|German IV|Almanca|3|4|||
ALM 301|German V|Almanca|3|4|||
ALM 302|German VI|Almanca|3|4|||
ALM 401|German VII|Almanca|3|4|||
ARB 101|Arapça I|Türkçe|3|4|||
ARB 102|Arapça II|Türkçe|3|4|||
ARC 106E|Structural Mechanics|English|3|7|||
ARC 120E|Int.toCmp.Ds.Tools&amp;Mth.inArch.|English|2|5|||
ARC 203E|Building and Const inArch.|English|3,5|5|||
ARC 204E|Arch.Building Element Design|English|4|6|||
ARC 208E|Structural Analysis&amp; Design I|English|3|5,5|||
ARC 209E|History of Architecture I|English|3|4|||
ARC 210E|History of Architecture II|English|3|4|||
ARC 211E|Architectural Design III|English|5|8|||
ARC 212E|Architectural Design IV|English|5|8|||
ARC 213E|Structural Analysis&amp; Design II|English|3|5|||
ARC 231E|Building Materials|English|3|6|||
ARC 246E|Environmental Control Studio|English|5|6|||
ARC 301E|Int.to Build. Inf. Model.(BIM)|English|3|4|||
ARC 304E|History of Architecture III|English|3|4|||
ARC 306E|Urbanism and Planning Law|English|2,5|4|||
ARC 312E|Architectural Design VI|English|5|10|||
ARC 322E|Conserv.of Hist. Build.&amp;Sites|English|2|4|||
ARC 333E|Building Production Systems|English|2|3|||
ARC 351E|Architectural Design V|English|5|10|||
ARC 359E|Construction Mngmnt &amp; Economy|English|4|6|||
ARC 361E|Archtctrl Survey &amp; Restrtn Std|English|3|5|||
ARC 401E|Apply.Data Sci.&amp;Mach. Learning|English|3|4|||
ARC 411E|Architectural Design VII|English|5|10|||
ARC 484E|Construction Project|English|5|12|||
ARC 4902E|Diploma Project|English|5|18|||
ATA 101|Atatürk İlk &amp; İnkılap Trh I|Türkçe|2|2|||
ATA 102|Atatürk İlk &amp; İnkılap Trh II|Türkçe|2|2|||
ATA 103|Atatürk İlke ve Ink.Tarihi|Türkçe|4|4|||
ATA 121E|History of Turkish Revolution I|English|0|2|||
ATA 121E|History of Turkish Revolution I|English|0|2|||
ATA 122E|History of Turkish Revolution II|English|0|2|||
ATA 122E|History of Turkish Revolution II|English|0|2|||
ATA 301|Türk Tarihi I-II|Türkçe|4|0|||
BBF 101E|Introduction to Information Systems|English|2|5|||
BBF 102E|Linear Algebra and Applications|English|3|4|||
BBF 103E|Discrete Mathematics|English|3|5|||
BBF 201E|Probability and Statistics|English|4|7,5|||
BBF 202E|Numerical Methods in Computer Engineering|English|3|5|||
BBF 203E|Object Oriented Programming|English|3|5|||
BBF 204E|Formal Languages and Automata|English|3|5|BBF 301E|Analysis of Algorithms I|English|3|4,5|( ( BLG 221 MIN. DD veya BLG 221E MIN. DD ) veya ( BLG 223 MIN. DD veya BLG 223E MIN. DD ) veya ( BLG 233 MIN. DD veya BLG 233E MIN. DD ) veya ( YZV 201 MIN. DD veya YZV 201E MIN. DD ) ) Ve( ( BLG 252 MIN. DD veya BLG 252E MIN. DD ) veya ( YZV 201 MIN. DD veya YZV 201E MIN. DD ) ) |Yok| -
BBF 301E|Analysis of Algorithms I|English|3|4,5|||
BBF 302E|Database Systems|English|3|4,5|||
BBF 303E|Analysis of Algorithms II|English|3|5|||
BBF 304E|Learning From Data|English|3|5|||
BEB 101E|Basic Swimming Skills|English|0|1|||
BEB 101E|Basic Swimming Skills|English|0|1|||
BEB 102|Yüzme Teknikleri Becerisi Öğr.|Türkçe|0|1|||
BEB 103|Voleybolda Tem.Eğt. ve Bec.Kaz|Türkçe|0|1|||
BEB 104|Tenis Teknik ve Taktik Eğitim|Türkçe|0|1|||
BEB 105|Futbol ve Temel Hareket Öğret.|Türkçe|0|1|||
BEB 106|Basketbol Temel Teknik Eğitimi|Türkçe|0|1|||
BEB 107|Spor ve Medya|Türkçe|0|0|||
BEB 108|Spor Sosyolojisi|Türkçe|0|0|||
BEB 109|Egzersiz ve Zihinsel Sağlık|Türkçe|0|0|||
BEB 110|Hentbol Temel Beceri Eğitimi|Türkçe|0|0|||
BEB 111|Masa Tenisi Tem.Beceri Eğitimi|Türkçe|0|1|||
BEB 112|Okçuluk Temel Beceri Eğitimi|Türkçe|0|0|||
BEB 113|Temel Yoga Becerileri Eğitimi|Türkçe|0|0|||
BEB 114|Futsal Temel Beceri Eğitim|Türkçe|0|1|||
BEB 115|Atletizm Temel Eğitimi|Türkçe|0|1|||
BEB 116|Badminton Temel Beceri Eğitimi|Türkçe|0|1|||
BEB 117|Eskrim Temel Beceri Eğitimi|Türkçe|0|1|||
BEB 118|Genel Kond.ve Vücut Geliştirme|Türkçe|0|1|||
BEB 119|Golf Temel Beceri Eğitimi|Türkçe|0|0|||
BEB 120|Spor ve Temel Bilimler|Türkçe|3|4|||
BEB 121|Spor ve Teknoloji|Türkçe|3|4|||
BEB 122|Fiziksel Aktivite ve Egzersiz|Türkçe|0|BEB 140E|Picklebal|English|0|0||| -
BEB 140|Pickleball|Türkçe|0|0|||
BEB 141|Martial Fights-Boxing|Türkçe|0|0|||
BED 102E|Physical Education|English|0|1|||
BED 102E|Physical Education|English|0|1|||
BED 201E|Physical Education|English|1|1|||
BED 201E|Physical Education|English|1|1|||
BEN 102|Microbiology|English|3|6|||
BEN 107|Art of Engineering|English|3|0|||
BEN 111|Intr. to Bioengineering|English|2|0|||
BEN 311|Principles and Applications of Ecology|English|3|0|||
BEN 312|Enzymology|English|3|6|||
BEN 321|Reac. Kin&amp;Reac. Design in Bio.|English|3|6|||
